task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,92.31731879231879,92.31731879231879,92.31731879231879,92.31731879231879,92.31731879231879,92.31731879231879,60.9381527008112,60.9381527008112,60.9381527008112,25.89178835195326,25.89178835195326,25.89178835195326
object_detection,80.04036199494706,80.04036199494706,80.04036199494706,80.04036199494706,80.04036199494706,80.04036199494706,89.39752637312236,89.39752637312236,89.39752637312236,55.22666452820331,55.22666452820331,55.22666452820331
question_answering,33.68931623931624,33.68931623931624,33.68931623931624,33.68931623931624,33.68931623931624,33.68931623931624,13.452570820991872,13.452570820991872,13.452570820991872,3.9565422965743893,3.9565422965743893,3.9565422965743893
speech_recognition,580.8333333333334,580.8333333333334,580.8333333333334,580.8333333333334,580.8333333333334,580.8333333333334,197.59238095238095,197.59238095238095,197.59238095238095,22.564415854378097,22.564415854378097,22.564415854378097
