task_type,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,42.012529657625855,42.012529657625855,42.012529657625855,17.36498774342711,17.36498774342711,17.36498774342711
object_detection,45.59441290979525,45.59441290979525,45.59441290979525,27.289809584336684,27.289809584336684,27.289809584336684
question_answering,14.801136671952856,14.801136671952856,14.801136671952856,3.5917580870096595,3.5917580870096595,3.5917580870096595
speech_recognition,239.491366041366,239.491366041366,239.491366041366,22.345953750293333,22.345953750293333,22.345953750293333
