task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1
image_classification,71.72377859477123,71.72377859477123,71.72377859477123,71.72377859477123,29.586744228882775,29.586744228882775,9.225485896162432
object_detection,46.55170698109438,46.55170698109438,46.55170698109438,46.55170698109438,43.95873717258917,43.95873717258917,24.101646279968953
question_answering,33.210212185602344,33.210212185602344,33.210212185602344,33.210212185602344,14.832227889906713,14.832227889906713,3.432789541889098
speech_recognition,572.8333333333333,572.8333333333333,572.8333333333333,572.8333333333333,189.84870755170755,189.84870755170755,22.903160061756097
