task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,77.83970238095239,77.83970238095239,77.83970238095239,77.83970238095239,36.44018827483232,36.44018827483232,14.257570124430467,14.257570124430467
object_detection,57.34360547168329,57.34360547168329,57.34360547168329,57.34360547168329,56.12502871330457,56.12502871330457,30.394192281932607,30.394192281932607
question_answering,33.50952353309745,33.50952353309745,33.50952353309745,33.50952353309745,15.16821822074194,15.16821822074194,3.6713840416353563,3.6713840416353563
speech_recognition,575.76,575.76,575.76,575.76,216.21074300699303,216.21074300699303,22.87839549356096,22.87839549356096
