task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,97.31934246309245,97.31934246309245,97.31934246309245,97.31934246309245,97.31934246309245,97.31934246309245,97.31934246309245,97.31934246309245,59.89760339686113,59.89760339686113,59.89760339686113,59.89760339686113,25.447593733523966,25.447593733523966
object_detection,87.55552814009698,87.55552814009698,87.55552814009698,87.55552814009698,87.55552814009698,87.55552814009698,87.55552814009698,87.55552814009698,107.96509084117638,107.96509084117638,107.96509084117638,107.96509084117638,61.30195202517628,61.30195202517628
question_answering,33.655,33.655,33.655,33.655,33.655,33.655,33.655,33.655,15.285127189874633,15.285127189874633,15.285127189874633,15.285127189874633,3.978639955003883,3.978639955003883
speech_recognition,582.6125,582.6125,582.6125,582.6125,582.6125,582.6125,582.6125,582.6125,193.9591820679321,193.9591820679321,193.9591820679321,193.9591820679321,22.502342145329816,22.502342145329816
