task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,87.43408569208569,53.42479778992937,20.205213040468497,20.205213040468497
object_detection,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,88.86927432128005,109.05340659340659,53.87006988607345,53.87006988607345
question_answering,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,33.225118548118544,14.153426573426575,3.8364608048024564,3.8364608048024564
speech_recognition,582.83,582.83,582.83,582.83,582.83,582.83,582.83,582.83,582.83,582.83,170.54285714285714,21.92289693076965,21.92289693076965
