task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,79.94880036630036,79.94880036630036,79.94880036630036,79.94880036630036,79.94880036630036,79.94880036630036,79.94880036630036,79.94880036630036,14.022488328664798,14.022488328664798
object_detection,70.29410413176528,70.29410413176528,70.29410413176528,70.29410413176528,70.29410413176528,70.29410413176528,70.29410413176528,70.29410413176528,37.28871678493389,37.28871678493389
question_answering,32.878095345594375,32.878095345594375,32.878095345594375,32.878095345594375,32.878095345594375,32.878095345594375,32.878095345594375,32.878095345594375,3.6717083816639247,3.6717083816639247
speech_recognition,580.095,580.095,580.095,580.095,580.095,580.095,580.095,580.095,22.039467482203328,22.039467482203328
