task_type,t2.large-1,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,79.94285714285715,37.38482196969697,37.38482196969697,16.1800659668247,16.1800659668247,16.1800659668247
object_detection,49.17078216536893,43.92101375925261,43.92101375925261,27.35623444241951,27.35623444241951,27.35623444241951
question_answering,35.33333333333333,15.48844046916415,15.48844046916415,3.4987336132870333,3.4987336132870333,3.4987336132870333
speech_recognition,585.2,201.10559523809525,201.10559523809525,22.31599211171814,22.31599211171814,22.31599211171814
