task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,g4dn.xlarge-1
image_classification,72.87861811391222,72.87861811391222,72.87861811391222,72.87861811391222,72.87861811391222,72.87861811391222,72.87861811391222,36.75868945868946,10.031276854432685
object_detection,59.44464945906533,59.44464945906533,59.44464945906533,59.44464945906533,59.44464945906533,59.44464945906533,59.44464945906533,62.627997027127456,29.317986450919467
question_answering,32.80606336286682,32.80606336286682,32.80606336286682,32.80606336286682,32.80606336286682,32.80606336286682,32.80606336286682,13.656385797562269,3.4815823562626633
speech_recognition,579.425,579.425,579.425,579.425,579.425,579.425,579.425,196.53563636363637,23.01688266725976
