task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,74.38071428571429,74.38071428571429,74.38071428571429,74.38071428571429,35.29856601731602,12.117519905891598,12.117519905891598
object_detection,51.32209017876879,51.32209017876879,51.32209017876879,51.32209017876879,49.01760606060606,27.19392262262317,27.19392262262317
question_answering,33.38282023283622,33.38282023283622,33.38282023283622,33.38282023283622,13.398788146837683,3.583865139382334,3.583865139382334
speech_recognition,574.75,574.75,574.75,574.75,210.69166666666666,22.78488200410993,22.78488200410993
