task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,g4dn.xlarge-1
image_classification,70.56681096681096,70.56681096681096,70.56681096681096,24.16229652818691,8.767600733604496
object_detection,35.02576626287406,35.02576626287406,35.02576626287406,28.206230577337315,16.693127199804415
question_answering,33.73068783068783,33.73068783068783,33.73068783068783,15.159791853848457,3.3473175601477485
speech_recognition,576.9503703703704,576.9503703703704,576.9503703703704,188.81875,22.997997472236904
