task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,83.98880405308977,83.98880405308977,83.98880405308977,83.98880405308977,83.98880405308977,83.98880405308977,83.98880405308977,45.2412532427315,45.2412532427315,18.374975501341495,18.374975501341495
object_detection,72.45979383752135,72.45979383752135,72.45979383752135,72.45979383752135,72.45979383752135,72.45979383752135,72.45979383752135,80.47107259570495,80.47107259570495,46.23397399046809,46.23397399046809
question_answering,33.01523024594453,33.01523024594453,33.01523024594453,33.01523024594453,33.01523024594453,33.01523024594453,33.01523024594453,18.473731884057973,18.473731884057973,3.699416666666667,3.699416666666667
speech_recognition,577.4957142857144,577.4957142857144,577.4957142857144,577.4957142857144,577.4957142857144,577.4957142857144,577.4957142857144,186.2600366300366,186.2600366300366,22.371431807455302,22.371431807455302
