task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,g4dn.xlarge-1
image_classification,71.29228778467908,71.29228778467908,71.29228778467908,71.29228778467908,71.29228778467908,8.850359712230215
object_detection,41.67225297113639,41.67225297113639,41.67225297113639,41.67225297113639,41.67225297113639,18.021728428066456
question_answering,33.021684779524755,33.021684779524755,33.021684779524755,33.021684779524755,33.021684779524755,3.3751000398176467
speech_recognition,575.312,575.312,575.312,575.312,575.312,22.962
