task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,80.48499691974692,39.812111701293084,39.812111701293084,39.812111701293084,39.812111701293084
object_detection,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,85.36744416087669,100.18531728538098,100.18531728538098,100.18531728538098,100.18531728538098
question_answering,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,33.0441217948718,16.049099589052737,16.049099589052737,16.049099589052737,16.049099589052737
speech_recognition,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,579.9275757575757,189.11442059363344,189.11442059363344,189.11442059363344,189.11442059363344
