task_type,t2.large-1,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,82.17802197802197,43.615842327837086,43.615842327837086,43.615842327837086,43.615842327837086,21.739212072951346,21.739212072951346,21.739212072951346
object_detection,54.27045095645095,58.160982110305625,58.160982110305625,58.160982110305625,58.160982110305625,35.99963744283654,35.99963744283654,35.99963744283654
question_answering,35.8030303030303,14.423813477418799,14.423813477418799,14.423813477418799,14.423813477418799,3.7364962452150237,3.7364962452150237,3.7364962452150237
speech_recognition,592.5833333333334,207.14055735930737,207.14055735930737,207.14055735930737,207.14055735930737,22.253606823283167,22.253606823283167,22.253606823283167
