task_type,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,37.26645320197044,12.754578246653764,12.754578246653764,12.754578246653764
object_detection,35.116050561332294,19.46530395389648,19.46530395389648,19.46530395389648
question_answering,14.691890736890738,3.487372755048811,3.487372755048811,3.487372755048811
speech_recognition,172.11666666666667,22.315032122380927,22.315032122380927,22.315032122380927
