task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,g4dn.xlarge-1
image_classification,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,75.10002864782277,11.209156210536891
object_detection,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,78.49606127223758,51.135232146422354
question_answering,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,32.82909911811615,3.655723146249462
speech_recognition,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,579.6131313131312,23.027390537535464
