task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,97.99765456765456,97.99765456765456,97.99765456765456,97.99765456765456,97.99765456765456,97.99765456765456,97.99765456765456,55.737388911032134,55.737388911032134,55.737388911032134,55.737388911032134,23.07646411192304,23.07646411192304
object_detection,78.62823964278174,78.62823964278174,78.62823964278174,78.62823964278174,78.62823964278174,78.62823964278174,78.62823964278174,97.28005823854508,97.28005823854508,97.28005823854508,97.28005823854508,60.045339863839864,60.045339863839864
question_answering,33.57680652680652,33.57680652680652,33.57680652680652,33.57680652680652,33.57680652680652,33.57680652680652,33.57680652680652,14.843316269098306,14.843316269098306,14.843316269098306,14.843316269098306,4.093646616541354,4.093646616541354
speech_recognition,580.5642857142857,580.5642857142857,580.5642857142857,580.5642857142857,580.5642857142857,580.5642857142857,580.5642857142857,194.0933012820513,194.0933012820513,194.0933012820513,194.0933012820513,21.91744969950353,21.91744969950353
