task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,82.51626896912612,82.51626896912612,82.51626896912612,82.51626896912612,82.51626896912612,82.51626896912612,82.51626896912612,40.6842772933407,14.809886853980203,14.809886853980203
object_detection,70.20366853000662,70.20366853000662,70.20366853000662,70.20366853000662,70.20366853000662,70.20366853000662,70.20366853000662,66.28579328756675,38.33906461398789,38.33906461398789
question_answering,33.42156334328603,33.42156334328603,33.42156334328603,33.42156334328603,33.42156334328603,33.42156334328603,33.42156334328603,13.385336617405581,3.7539015693012714,3.7539015693012714
speech_recognition,579.76,579.76,579.76,579.76,579.76,579.76,579.76,194.1238095238095,22.57991697579984,22.57991697579984
