task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,87.41329226329226,87.41329226329226,87.41329226329226,87.41329226329226,87.41329226329226,87.41329226329226,87.41329226329226,87.41329226329226,47.650192640692644,47.650192640692644,19.91169783042717,19.91169783042717
object_detection,80.98769743936404,80.98769743936404,80.98769743936404,80.98769743936404,80.98769743936404,80.98769743936404,80.98769743936404,80.98769743936404,81.12746179173423,81.12746179173423,49.519217031961595,49.519217031961595
question_answering,33.295407509157506,33.295407509157506,33.295407509157506,33.295407509157506,33.295407509157506,33.295407509157506,33.295407509157506,33.295407509157506,17.324062111801243,17.324062111801243,3.70161231884058,3.70161231884058
speech_recognition,580.37375,580.37375,580.37375,580.37375,580.37375,580.37375,580.37375,580.37375,200.81202380952382,200.81202380952382,22.484613905904922,22.484613905904922
