task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,77.83702075702077,77.83702075702077,77.83702075702077,31.12245001414565,31.12245001414565,13.304330372979802,13.304330372979802
object_detection,49.412028714943986,49.412028714943986,49.412028714943986,47.638344798627415,47.638344798627415,28.80884557191577,28.80884557191577
question_answering,34.08212783518511,34.08212783518511,34.08212783518511,14.95466460826755,14.95466460826755,3.620506075424354,3.620506075424354
speech_recognition,577.9066666666668,577.9066666666668,577.9066666666668,217.7173022810523,217.7173022810523,22.381444302402862,22.381444302402862
