task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,g4dn.xlarge-1
image_classification,74.0250056820974,74.0250056820974,74.0250056820974,74.0250056820974,74.0250056820974,74.0250056820974,74.0250056820974,74.0250056820974,9.30664340618469
object_detection,59.559718615651434,59.559718615651434,59.559718615651434,59.559718615651434,59.559718615651434,59.559718615651434,59.559718615651434,59.559718615651434,28.884393235193745
question_answering,32.70133037014473,32.70133037014473,32.70133037014473,32.70133037014473,32.70133037014473,32.70133037014473,32.70133037014473,32.70133037014473,3.393123445213155
speech_recognition,577.8305555555555,577.8305555555555,577.8305555555555,577.8305555555555,577.8305555555555,577.8305555555555,577.8305555555555,577.8305555555555,23.0
