task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,t2.large-14,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,98.33932060003488,24.641602654451493,24.641602654451493
object_detection,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,112.4357709999102,68.3797995307963,68.3797995307963
question_answering,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,33.31091908091908,4.153093251814182,4.153093251814182
speech_recognition,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,583.1221428571429,22.623902258131118,22.623902258131118
