task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,85.81228826728827,85.81228826728827,85.81228826728827,85.81228826728827,85.81228826728827,85.81228826728827,37.931426931532606,37.931426931532606,17.240109837209342,17.240109837209342
object_detection,65.63637113567754,65.63637113567754,65.63637113567754,65.63637113567754,65.63637113567754,65.63637113567754,70.9170657352327,70.9170657352327,42.078658443595984,42.078658443595984
question_answering,33.29623105652517,33.29623105652517,33.29623105652517,33.29623105652517,33.29623105652517,33.29623105652517,13.47206559723801,13.47206559723801,3.7575189152584114,3.7575189152584114
speech_recognition,575.4866666666667,575.4866666666667,575.4866666666667,575.4866666666667,575.4866666666667,575.4866666666667,185.11934523809524,185.11934523809524,22.87057950268201,22.87057950268201
