task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,83.43784815184816,83.43784815184816,83.43784815184816,83.43784815184816,83.43784815184816,46.380080460329935,46.380080460329935,46.380080460329935,17.407238440699476,17.407238440699476
object_detection,65.70259281043357,65.70259281043357,65.70259281043357,65.70259281043357,65.70259281043357,74.26522426121446,74.26522426121446,74.26522426121446,39.954975162622226,39.954975162622226
question_answering,33.36314652014652,33.36314652014652,33.36314652014652,33.36314652014652,33.36314652014652,13.26466153004084,13.26466153004084,13.26466153004084,3.727411429711,3.727411429711
speech_recognition,574.698,574.698,574.698,574.698,574.698,238.94141562141562,238.94141562141562,238.94141562141562,22.371916306694892,22.371916306694892
