task_type,t2.large-1,t2.large-2,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,78.9792673992674,78.9792673992674,35.387954458633295,35.387954458633295,35.387954458633295,14.562382026871763,14.562382026871763
object_detection,52.07243609041022,52.07243609041022,49.27883762353015,49.27883762353015,49.27883762353015,27.668420959181425,27.668420959181425
question_answering,32.84521929824562,32.84521929824562,14.684114008751106,14.684114008751106,14.684114008751106,3.5870609698681735,3.5870609698681735
speech_recognition,577.2,577.2,204.6404365079365,204.6404365079365,204.6404365079365,22.846250720922573,22.846250720922573
