task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,g4dn.xlarge-1
image_classification,72.74251461988304,72.74251461988304,72.74251461988304,72.74251461988304,72.74251461988304,72.74251461988304,72.74251461988304,9.511744323679208
object_detection,53.39606239115737,53.39606239115737,53.39606239115737,53.39606239115737,53.39606239115737,53.39606239115737,53.39606239115737,26.151233303428675
question_answering,32.82192089300164,32.82192089300164,32.82192089300164,32.82192089300164,32.82192089300164,32.82192089300164,32.82192089300164,3.640352158390133
speech_recognition,576.9974603174603,576.9974603174603,576.9974603174603,576.9974603174603,576.9974603174603,576.9974603174603,576.9974603174603,23.153521887948116
