task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,74.72740476190475,74.72740476190475,74.72740476190475,74.72740476190475,74.72740476190475,10.86056817090762,10.86056817090762
object_detection,52.008001955448194,52.008001955448194,52.008001955448194,52.008001955448194,52.008001955448194,26.24130685601596,26.24130685601596
question_answering,33.08585694473337,33.08585694473337,33.08585694473337,33.08585694473337,33.08585694473337,3.5566552587978406,3.5566552587978406
speech_recognition,574.24,574.24,574.24,574.24,574.24,21.718666785976886,21.718666785976886
