task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,83.43638583638584,83.43638583638584,83.43638583638584,45.95905069899925,45.95905069899925,18.314200920317244,18.314200920317244,18.314200920317244
object_detection,57.176266979158825,57.176266979158825,57.176266979158825,63.57957574656889,63.57957574656889,34.759670329350755,34.759670329350755,34.759670329350755
question_answering,34.45147956618545,34.45147956618545,34.45147956618545,15.22525546292788,15.22525546292788,3.6630585021623547,3.6630585021623547,3.6630585021623547
speech_recognition,576.95,576.95,576.95,208.45211038961037,208.45211038961037,22.40494252346114,22.40494252346114,22.40494252346114
