t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
0,0,3,3,100,100,0.0
0,0,2,5,100,98,2.0
0,1,3,6,100,96,4.2
0,3,3,7,100,90,11.1
0,4,3,7,100,81,23.5
0,2,3,7,100,91,9.9
11,2,3,8,100,80,25.0
5,4,3,8,100,75,33.3
6,4,3,8,100,77,29.9
0,4,2,8,100,77,29.9
4,4,3,8,100,77,29.9
9,4,3,8,100,77,29.9
7,4,3,8,100,81,23.5
10,4,2,8,100,79,26.6
1,4,3,8,100,77,29.9
10,3,3,8,100,70,42.9
8,4,3,8,100,72,38.9
9,3,3,8,100,81,23.5
2,4,3,8,100,79,26.6
7,3,3,9,100,70,42.9
3,4,3,9,100,79,26.6
11,1,3,9,100,70,42.9
11,4,1,9,100,77,29.9
12,3,1,9,100,64,56.2
0,1,2,9,100,92,8.7
13,0,3,9,100,81,23.5
8,3,3,9,100,77,29.9
12,2,2,9,100,79,26.6
9,2,3,9,100,72,38.9
3,3,3,9,100,80,25.0
7,4,2,9,100,68,47.1
9,4,2,9,100,69,44.9
6,4,2,9,100,72,38.9
2,3,3,9,100,86,16.3
10,3,2,9,100,67,49.3
6,3,3,9,100,73,37.0
8,4,2,9,100,79,26.6
11,3,2,9,100,67,49.3
10,2,3,9,100,72,38.9
12,1,3,9,100,80,25.0
10,4,1,9,100,65,53.8
1,3,3,9,100,88,13.6
12,4,0,10,100,75,33.3
12,1,2,10,100,68,47.1
9,4,1,10,100,64,56.2
11,0,3,10,100,81,23.5
8,3,2,10,100,80,25.0
7,3,2,10,100,80,25.0
6,2,3,10,100,75,33.3
14,1,1,10,100,63,58.7
4,4,2,10,100,81,23.5
10,2,2,10,100,68,47.1
7,2,3,10,100,83,20.5
1,2,3,10,100,91,9.9
11,4,0,10,100,60,66.7
1,4,2,10,100,84,19.0
9,1,3,10,100,82,22.0
11,2,2,10,100,68,47.1
5,4,2,10,100,73,37.0
2,4,2,10,100,83,20.5
4,3,3,10,100,75,33.3
12,2,1,10,100,72,38.9
5,3,3,10,100,83,20.5
8,2,3,10,100,70,42.9
10,1,3,10,100,81,23.5
11,3,1,10,100,70,42.9
13,1,2,10,100,66,51.5
9,3,2,10,100,79,26.6
12,0,3,10,100,69,44.9
13,3,0,10,100,75,33.3
0,3,2,10,100,83,20.5
0,0,1,10,100,90,11.1
8,4,1,10,100,78,28.2
13,2,1,10,100,63,58.7
14,0,2,10,100,69,44.9
0,2,2,10,100,91,9.9
6,3,2,11,100,81,23.5
12,0,2,11,100,79,26.6
13,0,2,11,100,67,49.3
1,1,3,11,100,87,14.9
15,0,1,11,100,77,29.9
9,4,0,11,100,74,35.1
13,1,1,11,100,64,56.2
9,3,1,11,100,66,51.5
10,0,3,11,100,72,38.9
10,3,1,11,100,74,35.1
8,3,1,11,100,72,38.9
10,4,0,11,100,75,33.3
12,3,0,11,100,60,66.7
7,4,1,11,100,77,29.9
8,1,3,11,100,74,35.1
15,1,0,11,100,59,69.5
8,2,2,11,100,80,25.0
14,0,1,11,100,63,58.7
9,0,3,11,100,83,20.5
2,2,3,11,100,88,13.6
7,1,3,11,100,73,37.0
3,4,2,11,100,78,28.2
10,1,2,11,100,78,28.2
1,3,2,11,100,86,16.3
11,1,2,11,100,67,49.3
3,2,3,11,100,78,28.2
4,2,3,11,100,80,25.0
5,2,3,11,100,84,19.0
12,1,1,11,100,70,42.9
