t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
0,0,3,3,25000,26206,4.6
0,0,2,5,25000,26221,4.7
0,1,3,6,25000,26206,4.6
0,3,3,7,25000,26221,4.7
0,4,3,7,25000,26243,4.7
0,2,3,7,25000,26240,4.7
11,2,3,8,25000,26275,4.9
5,4,3,8,25000,26273,4.8
6,4,3,8,25000,26268,4.8
0,4,2,8,25000,26243,4.7
4,4,3,8,25000,26241,4.7
9,4,3,8,25000,26272,4.8
7,4,3,8,25000,26259,4.8
10,4,2,8,25000,26274,4.8
1,4,3,8,25000,26238,4.7
10,3,3,8,25000,26276,4.9
8,4,3,8,25000,26288,4.9
9,3,3,8,25000,26326,5.0
2,4,3,8,25000,26264,4.8
7,3,3,9,25000,26246,4.7
3,4,3,9,25000,26243,4.7
11,1,3,9,25000,26278,4.9
11,4,1,9,25000,26279,4.9
12,3,1,9,25000,26291,4.9
0,1,2,9,25000,26228,4.7
13,0,3,9,25000,26276,4.9
8,3,3,9,25000,26288,4.9
12,2,2,9,25000,26278,4.9
9,2,3,9,25000,26288,4.9
3,3,3,9,25000,26240,4.7
7,4,2,9,25000,26283,4.9
9,4,2,9,25000,26282,4.9
6,4,2,9,25000,26269,4.8
2,3,3,9,25000,26219,4.6
10,3,2,9,25000,26290,4.9
6,3,3,9,25000,26273,4.8
8,4,2,9,25000,26275,4.9
11,3,2,9,25000,26289,4.9
10,2,3,9,25000,26291,4.9
12,1,3,9,25000,26276,4.9
10,4,1,9,25000,26288,4.9
1,3,3,9,25000,26223,4.7
12,4,0,10,25000,26275,4.9
12,1,2,10,25000,26287,4.9
9,4,1,10,25000,26278,4.9
11,0,3,10,25000,26276,4.9
8,3,2,10,25000,26232,4.7
7,3,2,10,25000,26239,4.7
6,2,3,10,25000,26267,4.8
14,1,1,10,25000,26287,4.9
4,4,2,10,25000,26235,4.7
10,2,2,10,25000,26261,4.8
7,2,3,10,25000,26263,4.8
1,2,3,10,25000,26234,4.7
11,4,0,10,25000,26291,4.9
1,4,2,10,25000,26240,4.7
9,1,3,10,25000,26274,4.8
11,2,2,10,25000,26291,4.9
5,4,2,10,25000,26252,4.8
2,4,2,10,25000,26228,4.7
4,3,3,10,25000,26278,4.9
12,2,1,10,25000,26289,4.9
5,3,3,10,25000,26262,4.8
8,2,3,10,25000,26261,4.8
10,1,3,10,25000,26277,4.9
11,3,1,10,25000,26280,4.9
13,1,2,10,25000,26292,4.9
9,3,2,10,25000,26281,4.9
12,0,3,10,25000,26289,4.9
13,3,0,10,25000,26275,4.9
0,3,2,10,25000,26245,4.7
0,0,1,10,25000,26220,4.7
8,4,1,10,25000,26251,4.8
13,2,1,10,25000,26292,4.9
14,0,2,10,25000,26295,4.9
0,2,2,10,25000,26218,4.6
6,3,2,11,25000,26261,4.8
12,0,2,11,25000,26282,4.9
13,0,2,11,25000,26277,4.9
1,1,3,11,25000,26230,4.7
15,0,1,11,25000,26279,4.9
9,4,0,11,25000,26269,4.8
13,1,1,11,25000,26291,4.9
9,3,1,11,25000,26278,4.9
10,0,3,11,25000,26288,4.9
10,3,1,11,25000,26373,5.2
8,3,1,11,25000,26255,4.8
10,4,0,11,25000,26278,4.9
12,3,0,11,25000,26291,4.9
7,4,1,11,25000,26246,4.7
8,1,3,11,25000,26247,4.8
15,1,0,11,25000,26371,5.2
8,2,2,11,25000,26236,4.7
14,0,1,11,25000,26290,4.9
9,0,3,11,25000,26208,4.6
2,2,3,11,25000,26219,4.6
7,1,3,11,25000,26264,4.8
3,4,2,11,25000,26243,4.7
10,1,2,11,25000,26289,4.9
1,3,2,11,25000,26238,4.7
11,1,2,11,25000,26290,4.9
3,2,3,11,25000,26241,4.7
4,2,3,11,25000,26254,4.8
5,2,3,11,25000,26261,4.8
12,1,1,11,25000,26292,4.9
11,2,1,11,25000,26277,4.9
9,2,2,11,25000,26278,4.9
12,2,0,12,25000,26278,4.9
15,0,0,12,25000,26288,4.9
2,3,2,12,25000,26242,4.7
13,0,1,12,25000,26294,4.9
5,1,3,12,25000,26249,4.8
6,4,1,12,25000,26296,4.9
5,4,1,12,25000,26237,4.7
9,1,2,12,25000,26248,4.8
7,3,1,12,25000,26251,4.8
11,2,0,12,25000,26271,4.8
6,1,3,12,25000,26245,4.7
0,4,1,12,25000,26224,4.7
11,0,2,12,25000,26263,4.8
7,2,2,12,25000,26245,4.7
5,3,2,12,25000,26263,4.8
6,2,2,12,25000,26257,4.8
11,1,1,12,25000,26273,4.8
9,2,1,12,25000,26275,4.9
8,0,3,12,25000,26235,4.7
16,0,0,12,25000,26278,4.9
4,3,2,12,25000,26255,4.8
3,3,2,12,25000,26271,4.8
4,4,1,12,25000,26273,4.8
14,2,0,12,25000,26377,5.2
2,1,3,12,25000,26220,4.7
10,2,1,12,25000,26264,4.8
6,3,1,13,25000,26256,4.8
8,1,2,13,25000,26277,4.9
13,1,0,13,25000,26303,5.0
1,4,1,13,25000,26260,4.8
1,0,3,13,25000,26220,4.7
10,0,2,13,25000,26236,4.7
11,3,0,13,25000,26320,5.0
12,0,1,13,25000,26288,4.9
0,3,1,13,25000,26245,4.7
4,1,3,13,25000,26248,4.8
5,2,2,13,25000,26279,4.9
10,1,1,13,25000,26251,4.8
9,0,2,13,25000,26250,4.8
13,2,0,13,25000,26278,4.9
9,3,0,13,25000,26234,4.7
7,1,2,13,25000,26240,4.7
1,2,2,13,25000,26226,4.7
8,2,1,13,25000,26270,4.8
2,4,1,13,25000,26253,4.8
3,1,3,13,25000,26244,4.7
7,0,3,13,25000,26249,4.8
5,3,1,14,25000,26265,4.8
4,2,2,14,25000,26258,4.8
7,2,1,14,25000,26279,4.9
6,0,3,14,25000,26260,4.8
11,0,1,14,25000,26275,4.9
8,4,0,14,25000,26353,5.1
9,1,1,14,25000,26252,4.8
2,2,2,14,25000,26232,4.7
3,4,1,14,25000,26270,4.8
5,0,3,14,25000,26221,4.7
14,1,0,14,25000,26314,5.0
6,1,2,14,25000,26236,4.7
3,2,2,14,25000,26250,4.8
10,0,1,15,25000,26289,4.9
4,3,1,15,25000,26262,4.8
2,0,3,15,25000,26219,4.6
8,0,2,15,25000,26259,4.8
4,0,3,15,25000,26246,4.7
3,3,1,15,25000,26250,4.8
7,4,0,15,25000,26829,6.8
5,1,2,15,25000,26273,4.8
8,1,1,15,25000,26275,4.9
10,3,0,15,25000,26713,6.4
6,2,1,15,25000,26254,4.8
10,2,0,15,25000,26452,5.5
0,2,1,16,25000,26234,4.7
1,3,1,16,25000,26239,4.7
13,0,0,16,25000,26585,6.0
3,0,3,16,25000,26231,4.7
7,0,2,16,25000,26270,4.8
9,0,1,16,25000,26290,4.9
1,1,2,16,25000,26226,4.7
4,1,2,16,25000,26262,4.8
7,1,1,16,25000,26268,4.8
2,3,1,16,25000,26233,4.7
12,1,0,16,25000,26600,6.0
5,4,0,16,25000,26269,4.8
5,2,1,16,25000,26269,4.8
3,1,2,17,25000,26258,4.8
6,0,2,17,25000,26275,4.9
8,2,0,17,25000,26293,4.9
2,1,2,17,25000,26261,4.8
10,1,0,18,25000,26619,6.1
4,2,1,18,25000,26243,4.7
8,3,0,18,25000,26321,5.0
8,0,1,18,25000,26278,4.9
7,3,0,18,25000,26602,6.0
6,1,1,18,25000,26280,4.9
6,4,0,19,25000,27166,8.0
3,2,1,19,25000,26257,4.8
0,1,1,19,25000,26228,4.7
5,0,2,19,25000,26274,4.8
1,2,1,20,25000,26259,4.8
4,0,2,20,25000,26206,4.6
7,0,1,20,25000,26274,4.8
5,1,1,20,25000,26280,4.9
2,2,1,20,25000,26240,4.7
6,0,1,22,25000,26287,4.9
3,0,2,22,25000,26246,4.7
1,0,2,22,25000,26206,4.6
4,1,1,22,25000,26262,4.8
2,0,2,23,25000,26271,4.8
4,4,0,23,25000,26399,5.3
3,4,0,23,25000,26242,4.7
3,1,1,24,25000,26281,4.9
5,3,0,25,25000,26330,5.1
5,0,1,25,25139,26244,4.2
2,1,1,27,26682,26270,1.6
1,1,1,28,27606,26233,5.2
4,0,1,29,28906,26257,10.1
3,0,1,34,33975,26286,29.3
