t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
11,2,3,3,100,80,25.0
4,3,3,3,100,75,33.3
7,4,3,3,100,81,23.5
9,4,2,3,100,69,44.9
9,4,3,3,100,77,29.9
2,3,3,3,100,86,16.3
1,2,3,3,100,91,9.9
1,3,3,3,100,88,13.6
8,2,3,3,100,70,42.9
1,4,3,3,100,77,29.9
4,4,3,3,100,77,29.9
6,4,3,3,100,77,29.9
10,3,3,3,100,70,42.9
0,2,3,3,100,91,9.9
8,3,3,3,100,77,29.9
0,4,3,3,100,81,23.5
0,3,3,3,100,90,11.1
5,4,3,3,100,75,33.3
0,0,3,3,100,100,0.0
6,3,3,3,100,73,37.0
5,3,3,3,100,83,20.5
9,2,3,3,100,72,38.9
7,3,3,3,100,70,42.9
2,4,3,3,100,79,26.6
0,1,3,3,100,96,4.2
3,3,3,3,100,80,25.0
9,3,3,3,100,81,23.5
12,1,3,3,100,80,25.0
11,1,3,3,100,70,42.9
3,4,3,3,100,79,26.6
8,4,3,3,100,72,38.9
10,4,2,3,100,79,26.6
10,2,3,3,100,72,38.9
0,4,2,4,100,77,29.9
10,0,3,4,100,72,38.9
6,3,2,4,100,81,23.5
12,0,2,4,100,79,26.6
8,3,2,4,100,80,25.0
7,2,2,4,100,75,33.3
3,0,3,4,100,92,8.7
7,1,3,4,100,73,37.0
12,4,0,4,100,75,33.3
11,0,3,4,100,81,23.5
9,4,1,4,100,64,56.2
4,1,3,4,100,86,16.3
3,2,3,4,100,78,28.2
8,0,3,4,100,84,19.0
7,3,2,4,100,80,25.0
10,3,2,4,100,67,49.3
12,1,2,4,100,68,47.1
9,1,2,4,100,81,23.5
13,0,2,4,100,67,49.3
7,4,2,4,100,68,47.1
14,1,1,4,100,63,58.7
6,0,3,4,100,87,14.9
4,3,2,4,100,82,22.0
12,2,1,4,100,72,38.9
8,2,2,4,100,80,25.0
2,4,2,4,100,83,20.5
8,4,2,4,100,79,26.6
2,1,3,4,100,90,11.1
3,4,2,4,100,78,28.2
5,4,2,4,100,73,37.0
11,2,2,4,100,68,47.1
9,1,3,4,100,82,22.0
1,4,2,4,100,84,19.0
10,1,2,4,100,78,28.2
3,1,3,4,100,90,11.1
11,3,2,4,100,67,49.3
12,2,2,4,100,79,26.6
7,2,3,4,100,83,20.5
13,0,3,4,100,81,23.5
10,2,2,4,100,68,47.1
6,2,3,4,100,75,33.3
1,0,3,4,100,96,4.2
5,3,2,4,100,82,22.0
4,4,2,4,100,81,23.5
11,4,1,4,100,77,29.9
12,3,1,4,100,64,56.2
10,1,3,4,100,81,23.5
4,0,3,4,100,90,11.1
11,3,1,4,100,70,42.9
0,0,2,4,100,98,2.0
8,4,1,4,100,78,28.2
13,1,2,4,100,66,51.5
0,3,2,4,100,83,20.5
14,0,2,4,100,69,44.9
5,0,3,4,100,86,16.3
1,1,3,4,100,87,14.9
2,3,2,4,100,79,26.6
9,2,2,4,100,80,25.0
0,1,2,4,100,92,8.7
11,1,2,4,100,67,49.3
13,2,1,4,100,63,58.7
6,4,2,4,100,72,38.9
8,1,3,4,100,74,35.1
12,0,3,4,100,69,44.9
7,0,3,4,100,86,16.3
6,1,3,4,100,85,17.6
9,0,3,4,100,83,20.5
2,0,3,4,100,95,5.3
2,2,3,4,100,88,13.6
1,3,2,4,100,86,16.3
3,3,2,4,100,78,28.2
0,2,2,4,100,91,9.9
9,3,2,4,100,79,26.6
4,2,3,4,100,80,25.0
5,1,3,4,100,80,25.0
10,4,1,4,100,65,53.8
5,2,3,4,100,84,19.0
6,1,2,5,100,81,23.5
13,1,1,5,100,64,56.2
8,2,1,5,100,65,53.8
2,4,1,5,100,80,25.0
11,0,2,5,100,68,47.1
6,4,1,5,100,68,47.1
8,1,2,5,100,71,40.8
8,0,2,5,100,83,20.5
7,1,2,5,100,73,37.0
9,3,1,5,100,66,51.5
12,3,0,5,100,60,66.7
5,2,2,5,100,76,31.6
7,4,1,5,100,77,29.9
4,2,2,5,100,73,37.0
15,1,0,5,100,59,69.5
13,0,1,5,100,63,58.7
14,0,1,5,100,63,58.7
7,3,1,5,100,78,28.2
13,3,0,5,100,75,33.3
3,4,1,5,100,80,25.0
9,2,1,5,100,65,53.8
6,3,1,5,100,79,26.6
1,1,2,5,100,89,12.4
11,4,0,5,100,60,66.7
5,1,2,5,100,77,29.9
5,4,1,5,100,74,35.1
3,2,2,5,100,86,16.3
9,4,0,5,100,74,35.1
4,1,2,5,100,85,17.6
12,1,1,5,100,70,42.9
6,2,2,5,100,82,22.0
1,2,2,5,100,89,12.4
2,2,2,5,100,87,14.9
10,0,2,5,100,74,35.1
10,2,1,5,100,78,28.2
8,3,1,5,100,72,38.9
11,1,1,5,100,65,53.8
