t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_qos,true_qos,err
11,2,3,1,100,80,25.0
10,2,3,1,100,72,38.9
8,4,3,1,100,72,38.9
7,4,3,1,100,81,23.5
9,4,3,1,100,77,29.9
10,3,3,1,100,70,42.9
6,4,3,1,100,77,29.9
9,3,3,1,100,81,23.5
8,3,3,1,100,77,29.9
10,3,1,2,100,74,35.1
4,4,3,2,100,77,29.9
7,4,2,2,100,68,47.1
8,2,3,2,100,70,42.9
6,0,3,2,100,87,14.9
10,0,2,2,100,74,35.1
14,1,1,2,100,63,58.7
6,1,2,2,100,81,23.5
13,1,1,2,100,64,56.2
11,4,1,2,100,77,29.9
4,4,2,2,100,81,23.5
5,3,2,2,100,82,22.0
6,2,3,2,100,75,33.3
8,3,2,2,100,80,25.0
3,0,3,2,100,92,8.7
6,3,2,2,100,81,23.5
10,0,3,2,100,72,38.9
5,4,3,2,100,75,33.3
0,3,3,2,100,90,11.1
7,1,2,2,100,73,37.0
10,3,2,2,100,67,49.3
7,3,2,2,100,80,25.0
0,4,3,2,100,81,23.5
6,2,2,2,100,82,22.0
3,2,3,2,100,78,28.2
4,1,3,2,100,86,16.3
15,0,1,2,100,77,29.9
13,0,2,2,100,67,49.3
2,2,2,2,100,87,14.9
7,2,2,2,100,75,33.3
12,0,2,2,100,79,26.6
10,2,2,2,100,68,47.1
0,4,2,2,100,77,29.9
13,0,3,2,100,81,23.5
12,2,2,2,100,79,26.6
1,2,3,2,100,91,9.9
5,3,3,2,100,83,20.5
12,3,1,2,100,64,56.2
7,1,3,2,100,73,37.0
12,2,1,2,100,72,38.9
3,4,2,2,100,78,28.2
1,0,3,2,100,96,4.2
10,1,2,2,100,78,28.2
5,1,2,2,100,77,29.9
3,4,3,2,100,79,26.6
11,0,3,2,100,81,23.5
9,4,1,2,100,64,56.2
3,3,3,2,100,80,25.0
7,0,2,2,100,84,19.0
8,0,3,2,100,84,19.0
12,1,2,2,100,68,47.1
4,3,2,2,100,82,22.0
1,4,3,2,100,77,29.9
4,3,3,2,100,75,33.3
8,2,2,2,100,80,25.0
9,1,2,2,100,81,23.5
9,2,3,2,100,72,38.9
10,1,3,2,100,81,23.5
3,1,3,2,100,90,11.1
1,4,2,2,100,84,19.0
4,2,2,2,100,73,37.0
5,2,2,2,100,76,31.6
7,2,3,2,100,83,20.5
7,4,1,2,100,77,29.9
9,1,3,2,100,82,22.0
11,2,2,2,100,68,47.1
5,4,2,2,100,73,37.0
6,0,2,2,100,77,29.9
2,1,3,2,100,90,11.1
8,4,2,2,100,79,26.6
2,4,2,2,100,83,20.5
2,3,3,2,100,86,16.3
11,3,2,2,100,67,49.3
11,3,1,2,100,70,42.9
9,2,2,2,100,80,25.0
11,1,2,2,100,67,49.3
9,3,1,2,100,66,51.5
8,0,2,2,100,83,20.5
4,0,3,2,100,90,11.1
11,0,2,2,100,68,47.1
2,3,2,2,100,79,26.6
13,2,1,2,100,63,58.7
1,3,3,2,100,88,13.6
5,0,3,2,100,86,16.3
14,0,2,2,100,69,44.9
9,0,2,2,100,71,40.8
6,3,3,2,100,73,37.0
0,3,2,2,100,83,20.5
13,1,2,2,100,66,51.5
1,1,3,2,100,87,14.9
9,4,2,2,100,69,44.9
6,4,2,2,100,72,38.9
8,1,3,2,100,74,35.1
3,3,2,2,100,78,28.2
3,2,2,2,100,86,16.3
1,3,2,2,100,86,16.3
11,1,3,2,100,70,42.9
2,4,3,2,100,79,26.6
12,1,3,2,100,80,25.0
0,1,3,2,100,96,4.2
2,2,3,2,100,88,13.6
7,3,3,2,100,70,42.9
2,0,3,2,100,95,5.3
9,0,3,2,100,83,20.5
10,4,2,2,100,79,26.6
6,1,3,2,100,85,17.6
7,0,3,2,100,86,16.3
12,0,3,2,100,69,44.9
8,4,1,2,100,78,28.2
9,3,2,2,100,79,26.6
8,1,2,2,100,71,40.8
4,2,3,2,100,80,25.0
0,0,3,2,100,100,0.0
4,1,2,2,100,85,17.6
12,1,1,2,100,70,42.9
5,2,3,2,100,84,19.0
11,2,1,2,100,76,31.6
0,2,3,2,100,91,9.9
5,1,3,2,100,80,25.0
10,4,1,2,100,65,53.8
12,3,0,3,100,60,66.7
10,2,1,3,100,78,28.2
8,1,1,3,100,79,26.6
0,1,2,3,100,92,8.7
13,0,1,3,100,63,58.7
3,2,1,3,100,78,28.2
5,0,2,3,100,81,23.5
4,4,1,3,100,70,42.9
1,0,2,3,100,97,3.1
2,0,2,3,100,88,13.6
15,1,0,3,100,59,69.5
7,2,1,3,100,79,26.6
7,1,1,3,100,80,25.0
3,4,1,3,100,80,25.0
6,3,1,3,100,79,26.6
6,1,1,3,100,76,31.6
13,3,0,3,100,75,33.3
9,2,1,3,100,65,53.8
14,0,1,3,100,63,58.7
5,2,1,3,100,69,44.9
12,0,1,3,100,64,56.2
4,0,2,3,100,89,12.4
9,1,1,3,100,78,28.2
9,0,1,3,100,66,51.5
3,0,2,3,100,87,14.9
6,4,1,3,100,68,47.1
1,1,2,3,100,89,12.4
0,0,2,3,100,98,2.0
11,1,1,3,100,65,53.8
8,3,1,3,100,72,38.9
0,2,2,3,100,91,9.9
0,4,1,3,100,82,22.0
1,2,2,3,100,89,12.4
12,4,0,3,100,75,33.3
11,0,1,3,100,78,28.2
3,1,2,3,100,83,20.5
3,3,1,3,100,81,23.5
5,4,1,3,100,74,35.1
6,2,1,3,100,67,49.3
4,2,1,3,100,82,22.0
2,1,2,3,100,89,12.4
10,4,0,3,100,75,33.3
10,1,1,3,100,78,28.2
7,3,1,3,100,78,28.2
9,4,0,3,100,74,35.1
5,3,1,3,100,73,37.0
8,2,1,3,100,65,53.8
1,4,1,3,100,76,31.6
2,3,1,3,100,82,22.0
2,4,1,3,100,80,25.0
10,0,1,3,100,66,51.5
4,3,1,3,100,65,53.8
8,0,1,3,100,67,49.3
11,4,0,3,100,60,66.7
10,3,0,4,100,59,69.5
3,1,1,4,100,78,28.2
12,1,0,4,100,72,38.9
8,3,0,4,100,72,38.9
12,2,0,4,100,64,56.2
8,4,0,4,100,60,66.7
2,2,1,4,100,70,42.9
5,0,1,4,100,85,17.6
15,0,0,4,100,59,69.5
6,0,1,4,100,73,37.0
7,4,0,4,100,59,69.5
16,0,0,4,100,73,37.0
14,2,0,4,100,72,38.9
5,4,0,4,100,60,66.7
5,1,1,4,100,72,38.9
0,3,1,4,100,79,26.6
1,2,1,4,100,80,25.0
10,2,0,4,100,73,37.0
6,4,0,4,100,70,42.9
14,1,0,4,100,58,72.4
11,2,0,4,100,69,44.9
2,1,1,4,100,81,23.5
4,0,1,4,100,88,13.6
7,0,1,4,100,82,22.0
1,3,1,4,100,83,20.5
7,3,0,4,100,62,61.3
4,1,1,4,100,72,38.9
13,2,0,4,100,73,37.0
13,1,0,4,100,64,56.2
9,3,0,4,100,74,35.1
11,3,0,4,100,66,51.5
0,2,1,4,100,83,20.5
13,0,0,5,100,71,40.8
3,4,0,5,100,71,40.8
0,1,1,5,100,88,13.6
8,2,0,5,100,73,37.0
4,4,0,5,100,71,40.8
1,1,1,5,100,85,17.6
3,0,1,5,100,83,20.5
2,0,1,5,100,92,8.7
10,1,0,5,100,57,75.4
5,3,0,5,100,55,81.8
