task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,t2.large-12,t2.large-13,t2.large-14,t2.large-15,c5.2xlarge-1
image_classification,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,76.19424606765783,26.07444380181222
object_detection,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,36.05451134292086,18.874978349871967
question_answering,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,40.64074310196965,13.9559410801964
speech_recognition,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,578.5276350316351,183.9851634111647
