task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,g4dn.xlarge-1
image_classification,74.58617151941084,74.58617151941084,74.58617151941084,74.58617151941084,74.58617151941084,74.58617151941084,74.58617151941084,8.426754677389683
object_detection,34.93583806667066,34.93583806667066,34.93583806667066,34.93583806667066,34.93583806667066,34.93583806667066,34.93583806667066,9.873406747536515
question_answering,39.4848735862398,39.4848735862398,39.4848735862398,39.4848735862398,39.4848735862398,39.4848735862398,39.4848735862398,3.221795898314011
speech_recognition,574.7689455782313,574.7689455782313,574.7689455782313,574.7689455782313,574.7689455782313,574.7689455782313,574.7689455782313,20.136383783862435
