task_type,t2.large-1,t2.large-2,t2.large-3,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4
image_classification,76.53078144078145,76.53078144078145,76.53078144078145,26.998133173707078,26.998133173707078,26.998133173707078,26.998133173707078
object_detection,33.39694032600555,33.39694032600555,33.39694032600555,18.603874177586896,18.603874177586896,18.603874177586896,18.603874177586896
question_answering,41.33680635184202,41.33680635184202,41.33680635184202,14.465463011703259,14.465463011703259,14.465463011703259,14.465463011703259
speech_recognition,576.4177740511409,576.4177740511409,576.4177740511409,189.62805921386558,189.62805921386558,189.62805921386558,189.62805921386558
