task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,72.71290665403282,72.71290665403282,72.71290665403282,72.71290665403282,72.71290665403282,72.71290665403282,27.31851657264043,27.31851657264043,27.31851657264043,27.31851657264043,8.298986425020859,8.298986425020859
object_detection,33.910402119810016,33.910402119810016,33.910402119810016,33.910402119810016,33.910402119810016,33.910402119810016,20.222770323460477,20.222770323460477,20.222770323460477,20.222770323460477,10.185759261958669,10.185759261958669
question_answering,34.972794944706706,34.972794944706706,34.972794944706706,34.972794944706706,34.972794944706706,34.972794944706706,16.37452956263104,16.37452956263104,16.37452956263104,16.37452956263104,3.3254979764395864,3.3254979764395864
speech_recognition,574.5281518481518,574.5281518481518,574.5281518481518,574.5281518481518,574.5281518481518,574.5281518481518,202.8218314744301,202.8218314744301,202.8218314744301,202.8218314744301,18.732732064683283,18.732732064683283
