task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,c5.2xlarge-1,g4dn.xlarge-1
image_classification,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,73.7699771202368,25.8347351341469,8.236568370863921
object_detection,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,33.98111969471877,19.295517241379308,9.842631617631618
question_answering,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,36.67097326649959,15.972010938762855,3.2013525332726216
speech_recognition,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,572.9449594849596,184.57368358633775,19.605321002993897
