task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1
image_classification,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,74.14677909137802,31.54130407193743,31.54130407193743,31.54130407193743,31.54130407193743,8.202255250153632
object_detection,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,35.22898890497187,20.05387965876628,20.05387965876628,20.05387965876628,20.05387965876628,10.60947977158343
question_answering,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,35.579823260518445,16.23855820796925,16.23855820796925,16.23855820796925,16.23855820796925,3.270476740191026
speech_recognition,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,578.2086439822804,216.99922140165964,216.99922140165964,216.99922140165964,216.99922140165964,18.917386774223825
