task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,c5.2xlarge-1,g4dn.xlarge-1
image_classification,74.10035838468396,74.10035838468396,74.10035838468396,74.10035838468396,74.10035838468396,74.10035838468396,74.10035838468396,74.10035838468396,25.216954791683623,8.398816328919025
object_detection,34.66381917342036,34.66381917342036,34.66381917342036,34.66381917342036,34.66381917342036,34.66381917342036,34.66381917342036,34.66381917342036,19.77335982641663,10.062488111799741
question_answering,37.96579443894169,37.96579443894169,37.96579443894169,37.96579443894169,37.96579443894169,37.96579443894169,37.96579443894169,37.96579443894169,13.395289900906599,3.160415847434156
speech_recognition,574.8864532342657,574.8864532342657,574.8864532342657,574.8864532342657,574.8864532342657,574.8864532342657,574.8864532342657,574.8864532342657,184.13446462455948,19.630209744578902
