task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,g4dn.xlarge-1
image_classification,73.74210490256709,73.74210490256709,73.74210490256709,73.74210490256709,73.74210490256709,73.74210490256709,73.74210490256709,27.68507791665496,27.68507791665496,27.68507791665496,8.206974899429172
object_detection,34.55776948050721,34.55776948050721,34.55776948050721,34.55776948050721,34.55776948050721,34.55776948050721,34.55776948050721,19.888612805251178,19.888612805251178,19.888612805251178,10.151779048076813
question_answering,36.35110521597916,36.35110521597916,36.35110521597916,36.35110521597916,36.35110521597916,36.35110521597916,36.35110521597916,15.985233164096126,15.985233164096126,15.985233164096126,3.264713922030995
speech_recognition,574.7330674087817,574.7330674087817,574.7330674087817,574.7330674087817,574.7330674087817,574.7330674087817,574.7330674087817,193.99011177328418,193.99011177328418,193.99011177328418,19.419702359000603
