task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,73.30175162092809,73.30175162092809,73.30175162092809,73.30175162092809,73.30175162092809,27.66033540453799,27.66033540453799,8.493050675252746,8.493050675252746
object_detection,32.408845440421295,32.408845440421295,32.408845440421295,32.408845440421295,32.408845440421295,20.885110306360307,20.885110306360307,10.443912248494524,10.443912248494524
question_answering,35.699867387514445,35.699867387514445,35.699867387514445,35.699867387514445,35.699867387514445,14.782238926280964,14.782238926280964,3.2796299730059224,3.2796299730059224
speech_recognition,575.6267232767233,575.6267232767233,575.6267232767233,575.6267232767233,575.6267232767233,203.05510033514872,203.05510033514872,19.15877885756391,19.15877885756391
