task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,c5.2xlarge-1,g4dn.xlarge-1
image_classification,74.38627100224623,74.38627100224623,74.38627100224623,74.38627100224623,74.38627100224623,74.38627100224623,25.355132478632477,8.26995769975425
object_detection,34.07294766472516,34.07294766472516,34.07294766472516,34.07294766472516,34.07294766472516,34.07294766472516,18.62981969011381,9.968265562838317
question_answering,38.109337083911385,38.109337083911385,38.109337083911385,38.109337083911385,38.109337083911385,38.109337083911385,14.964052326300543,3.0926535386772107
speech_recognition,573.5624364524364,573.5624364524364,573.5624364524364,573.5624364524364,573.5624364524364,573.5624364524364,190.80048407040817,19.228325449172804
