task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,t2.large-6,t2.large-7,t2.large-8,t2.large-9,t2.large-10,t2.large-11,g4dn.xlarge-1,g4dn.xlarge-2
image_classification,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,73.61104742436785,8.425104744264166,8.425104744264166
object_detection,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,34.902748429526504,10.57487107609268,10.57487107609268
question_answering,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,35.84956098261122,3.365096940475418,3.365096940475418
speech_recognition,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,575.7845757273029,19.208029423462744,19.208029423462744
