task_type,t2.large-1,t2.large-2,t2.large-3,t2.large-4,t2.large-5,c5.2xlarge-1,c5.2xlarge-2,g4dn.xlarge-1,g4dn.xlarge-2,g4dn.xlarge-3
image_classification,73.38664546564546,73.38664546564546,73.38664546564546,73.38664546564546,73.38664546564546,27.305404596036603,27.305404596036603,8.421218608787639,8.421218608787639,8.421218608787639
object_detection,32.96528648802178,32.96528648802178,32.96528648802178,32.96528648802178,32.96528648802178,19.532541941321433,19.532541941321433,10.61178923635126,10.61178923635126,10.61178923635126
question_answering,35.167231637643404,35.167231637643404,35.167231637643404,35.167231637643404,35.167231637643404,16.230850760947536,16.230850760947536,3.288745722259158,3.288745722259158,3.288745722259158
speech_recognition,576.6005461205461,576.6005461205461,576.6005461205461,576.6005461205461,576.6005461205461,231.99461237597197,231.99461237597197,19.16413747612948,19.16413747612948,19.16413747612948
