task_type,t2.large-1,c5.2xlarge-1,c5.2xlarge-2,c5.2xlarge-3,c5.2xlarge-4,g4dn.xlarge-1
image_classification,72.00214285714286,24.886457750446766,24.886457750446766,24.886457750446766,24.886457750446766,8.097282213131798
object_detection,31.422142857142852,19.007417599846427,19.007417599846427,19.007417599846427,19.007417599846427,9.94607322076663
question_answering,35.13184149184149,14.570891181504972,14.570891181504972,14.570891181504972,14.570891181504972,3.207724683810176
speech_recognition,564.6063736263736,198.1329469086364,198.1329469086364,198.1329469086364,198.1329469086364,19.039167169312798
