t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
0,1,3,4,4065,5596,27.4
0,2,3,4,4225,5446,22.4
0,0,3,4,3594,5770,37.7
0,4,3,4,4318,5174,16.5
0,3,3,4,4459,5417,17.7
11,2,3,5,5268,5048,4.4
4,4,3,5,4844,5133,5.6
0,4,2,5,5023,5971,15.9
6,4,3,5,5046,5107,1.2
8,3,3,5,5182,5095,1.7
3,2,3,5,5279,5685,7.1
5,4,3,5,4901,5000,2.0
5,2,3,5,5421,5628,3.7
10,3,3,5,5136,5020,2.3
0,2,2,5,5139,6700,23.3
0,3,2,5,5056,6261,19.2
6,3,3,5,5140,5317,3.3
1,1,3,5,4788,5826,17.8
7,4,2,5,5451,5678,4.0
8,2,3,5,5385,5297,1.7
6,2,3,5,5300,5522,4.0
7,2,3,5,5446,5276,3.2
3,3,3,5,5037,5445,7.5
3,4,3,5,4834,5052,4.3
1,0,3,5,4790,5992,20.1
9,3,3,5,5252,5121,2.6
5,3,3,5,5087,5518,7.8
1,4,3,5,4543,5253,13.5
4,3,3,5,5112,5301,3.6
8,4,2,5,5445,5674,4.0
2,1,3,5,5244,5767,9.1
7,4,3,5,4952,5023,1.4
9,4,3,5,4935,5038,2.0
2,3,3,5,4871,5611,13.2
1,4,2,5,5340,6013,11.2
3,1,3,5,5471,5779,5.3
10,1,3,5,5543,5443,1.8
9,2,3,5,5374,5359,0.3
1,2,3,5,4772,5705,16.4
1,3,3,5,4654,5571,16.5
0,0,2,5,4687,7799,39.9
4,2,3,5,5356,5626,4.8
9,4,2,5,5361,5649,5.1
2,2,3,5,4988,5698,12.5
6,4,2,5,5489,5659,3.0
8,4,3,5,5027,5035,0.2
0,1,2,5,5242,6951,24.6
10,4,2,5,5438,5673,4.1
11,1,3,5,5509,5451,1.1
12,1,3,5,5442,5059,7.6
2,0,3,5,5454,5912,7.7
2,4,3,5,4669,5221,10.6
7,3,3,5,5187,5092,1.9
10,2,3,5,5279,5218,1.2
8,1,3,6,5564,5574,0.2
12,4,0,6,6205,9754,36.4
11,3,1,6,6174,7438,17.0
7,4,1,6,6222,7532,17.4
13,0,2,6,6144,6240,1.5
12,0,3,6,5627,5399,4.2
9,1,3,6,5542,5577,0.6
5,4,2,6,5595,5979,6.4
4,1,3,6,5595,5724,2.3
2,2,2,6,6106,6518,6.3
6,2,2,6,6110,6293,2.9
2,4,2,6,5526,6331,12.7
10,2,1,6,6466,7602,14.9
8,2,2,6,6055,6249,3.1
7,3,2,6,5847,5903,0.9
10,3,2,6,5581,5681,1.8
11,2,2,6,5768,5861,1.6
7,2,2,6,6095,6291,3.1
