t2.large,c5.2xlarge,g4dn.xlarge,ssee,estimated_makespan,true_makespan,err
11,2,3,3,2985,4035,26.0
6,0,3,3,3488,4501,22.5
8,2,3,3,3037,4052,25.0
7,4,2,3,3490,4546,23.2
4,4,3,3,3026,3936,23.1
10,0,3,3,3158,4215,25.1
8,3,3,3,3029,3983,24.0
4,1,3,3,3386,4214,19.6
3,2,3,3,3284,4166,21.2
0,4,3,3,3232,3777,14.4
10,3,2,3,3492,4630,24.6
0,3,3,3,3381,3988,15.2
5,4,3,3,3018,3964,23.9
11,3,2,3,3464,4572,24.2
5,2,3,3,3177,4137,23.2
5,1,3,3,3351,4299,22.1
10,3,3,3,2956,3982,25.8
6,3,3,3,3092,4037,23.4
6,2,3,3,3170,4153,23.7
5,0,3,3,3491,4396,20.6
13,0,3,3,3170,4191,24.4
1,2,3,3,3445,4104,16.1
8,0,3,3,3288,4289,23.3
3,3,3,3,3193,4009,20.4
11,0,3,3,3178,4223,24.7
3,4,3,3,3110,4012,22.5
9,3,3,3,2968,3990,25.6
7,1,3,3,3196,4221,24.3
5,3,3,3,3104,4069,23.7
1,4,3,3,3130,3851,18.7
4,3,3,3,3095,4115,24.8
8,4,2,3,3458,4483,22.9
7,4,3,3,2985,3840,22.3
9,4,3,3,2962,3990,25.8
9,1,3,3,3093,4045,23.5
2,3,3,3,3239,4045,19.9
3,1,3,3,3471,4331,19.9
10,1,3,3,3083,4080,24.4
9,2,3,3,3086,4157,25.8
7,2,3,3,3125,4079,23.4
1,3,3,3,3283,3989,17.7
4,2,3,3,3254,4112,20.9
7,0,3,3,3332,4335,23.1
8,1,3,3,3191,4127,22.7
12,0,3,3,3133,4178,25.0
6,1,3,3,3245,4223,23.2
10,4,2,3,3369,4272,21.1
9,0,3,3,3276,4251,22.9
2,2,3,3,3316,4047,18.1
12,1,3,3,3046,4050,24.8
2,4,3,3,3185,3914,18.6
11,1,3,3,3081,4049,23.9
7,3,3,3,3026,3952,23.4
9,4,2,3,3393,4464,24.0
10,2,3,3,2989,3999,25.3
8,4,3,3,2999,3907,23.2
5,3,2,4,3794,4969,23.6
4,4,2,4,3649,4780,23.7
11,4,1,4,4462,5588,20.2
6,1,2,4,4213,5395,21.9
10,0,2,4,4082,5266,22.5
8,3,2,4,3588,4668,23.1
3,0,3,4,3667,4528,19.0
0,4,2,4,4028,4842,16.8
6,3,2,4,3772,4987,24.4
12,0,2,4,3948,5137,23.1
